# dumped at t=1 ps
e_aq^-1 -26.1586 -4.27837 -1272.06
e_aq^-1 -2.57304 22.8201 -1246.5
e_aq^-1 -13.4573 0.655888 -1292.07
e_aq^-1 -2.26259 2.39211 -1271.4
e_aq^-1 6.32665 -5.05328 -1275.45
e_aq^-1 3.03196 -3.53111 -1257.24
e_aq^-1 14.3127 0.152095 -1275.27
e_aq^-1 6.06071 -5.14422 -1251.88
e_aq^-1 2.11264 -20.9794 -1252.89
e_aq^-1 0.279601 -8.37373 -1255
e_aq^-1 -8.94486 -2.08951 -1262.52
e_aq^-1 -6.85578 -7.22283 -1255.85
e_aq^-1 10.0706 13.0662 -1251.41
e_aq^-1 -21.1273 11.3673 -1249.17
e_aq^-1 4.06399 10.0434 -1232.38
e_aq^-1 3.50667 -12.3777 -1243.51
e_aq^-1 -17.8059 -11.1904 -1238.52
e_aq^-1 13.6139 6.59334 -1245.01
e_aq^-1 -9.27043 4.64396 -1240.2
e_aq^-1 -10.9419 7.14597 -1238.85
e_aq^-1 -19.0639 5.41954 -1230.93
e_aq^-1 4.55963 -8.99516 -1220.6
e_aq^-1 -13.5939 -2.59444 -1237.85
e_aq^-1 -1.72872 11.7348 -1241.94
e_aq^-1 -12.9315 5.46939 -1229.09
e_aq^-1 -1.2799 3.29641 -1237.47
e_aq^-1 -1.55421 3.55072 -1227.66
e_aq^-1 1.11758 8.18865 -1241.01
e_aq^-1 -1.81393 -3.21881 -1229.34
e_aq^-1 -16.6712 8.18449 -1219.3
e_aq^-1 -16.4707 -1.71406 -1230.76
e_aq^-1 -5.16199 -5.16428 -1219.45
e_aq^-1 -7.79093 8.93638 -1223.53
e_aq^-1 -13.9146 6.27268 -1225.4
e_aq^-1 -14.5607 7.77036 -1236.66
e_aq^-1 -7.42295 -6.25064 -1217.13
e_aq^-1 -10.2846 11.9536 -1204.94
e_aq^-1 0.556896 -7.20238 -1201.84
e_aq^-1 -2.79849 5.05487 -1222.5
e_aq^-1 -3.81984 -1.76474 -1218.01
e_aq^-1 -8.13744 6.88366 -1216.11
e_aq^-1 -18.7749 9.40231 -1215.44
e_aq^-1 -14.1174 3.32442 -1203.83
e_aq^-1 -11.138 14.1437 -1212.98
e_aq^-1 -26.5767 -2.76687 -1213.21
e_aq^-1 -28.8878 15.001 -1198.18
e_aq^-1 -15.9017 6.68926 -1207.57
e_aq^-1 -7.55533 14.3212 -1203.39
e_aq^-1 -1.00681 1.08552 -1210.48
e_aq^-1 6.55067 6.14323 -1203.35
e_aq^-1 -19.0829 12.3443 -1202.73
e_aq^-1 31.6958 -6.98133 -1198.98
e_aq^-1 -13.725 -0.120163 -1203.04
e_aq^-1 -2.80723 11.0755 -1210.79
e_aq^-1 -3.60825 2.69306 -1209.56
e_aq^-1 7.4839 1.46579 -1206.28
e_aq^-1 1.65547 -4.02443 -1192.94
e_aq^-1 -2.81118 0.460657 -1204.78
e_aq^-1 -6.86232 13.2279 -1188.38
e_aq^-1 -23.5377 9.68594 -1205.9
e_aq^-1 -15.2493 -6.43616 -1188.56
e_aq^-1 -13.4396 3.99597 -1193.52
e_aq^-1 -5.13261 10.424 -1195.67
e_aq^-1 -1.78819 16.2515 -1200.91
e_aq^-1 -23.7834 7.65394 -1194.64
e_aq^-1 -10.3051 -10.4148 -1173.11
e_aq^-1 -0.107508 -2.33852 -1181.98
e_aq^-1 -5.51281 0.352015 -1190.73
e_aq^-1 3.75645 -3.76633 -1178.19
e_aq^-1 -3.91806 12.8865 -1177.33
e_aq^-1 -25.7406 17.7298 -1195.7
e_aq^-1 -4.5707 5.8954 -1181.91
e_aq^-1 -10.1577 8.82472 -1184.4
e_aq^-1 -0.6803 -2.29037 -1160.69
e_aq^-1 -41.3736 -18.9442 -1186.97
e_aq^-1 -11.5899 -4.04609 -1165.83
e_aq^-1 -8.85217 -2.9136 -1176.07
e_aq^-1 -7.51888 -6.11381 -1166.92
e_aq^-1 5.54359 -5.25859 -1164.7
e_aq^-1 -12.5535 -3.92289 -1167.2
e_aq^-1 -6.30191 -14.2176 -1163.99
e_aq^-1 -12.8347 0.880073 -1156.14
e_aq^-1 -13.6926 -4.11763 -1159.87
e_aq^-1 -14.3325 2.71324 -1159.09
e_aq^-1 -2.50247 26.032 -1174.18
e_aq^-1 -5.33682 -5.36709 -1162.57
e_aq^-1 -3.87398 0.849788 -1152.65
e_aq^-1 -13.679 0.108596 -1154.91
e_aq^-1 -24.2194 8.90287 -1159.15
e_aq^-1 -28.8766 4.51296 -1148.36
e_aq^-1 -1.13937 12.1414 -1145.31
e_aq^-1 -10.8392 4.30926 -1156.66
e_aq^-1 -13.829 2.26865 -1154.28
e_aq^-1 -0.449942 0.939455 -1156.93
e_aq^-1 -12.3646 -18.78 -1142.35
e_aq^-1 -7.13652 -5.48375 -1140.07
e_aq^-1 -6.54829 14.3274 -1142.37
e_aq^-1 -16.605 -4.99845 -1127.54
e_aq^-1 -16.8667 18.3952 -1121.43
e_aq^-1 -15.1296 -2.10142 -1134.14
e_aq^-1 -39.0058 3.84546 -1139.03
e_aq^-1 0.494662 12.1157 -1110.35
e_aq^-1 -6.86105 2.96196 -1123.65
e_aq^-1 -7.29623 -11.3087 -1117.16
e_aq^-1 -15.4537 2.88635 -1119.38
e_aq^-1 -5.19256 0.898969 -1124.94
e_aq^-1 -11.7516 -9.11694 -1119.98
e_aq^-1 -13.7612 18.2567 -1106.8
e_aq^-1 -10.2802 -4.0599 -1116.8
e_aq^-1 -15.1667 16.6586 -1089.3
e_aq^-1 -4.44364 -7.0103 -1112.36
e_aq^-1 -9.33052 3.08055 -1111.21
e_aq^-1 -3.81553 -2.9596 -1085.53
e_aq^-1 -20.4614 -0.173486 -1097.02
e_aq^-1 -14.9485 -7.28895 -1090.08
e_aq^-1 -20.4008 6.53192 -1070.92
e_aq^-1 -29.4607 4.34283 -1098.02
e_aq^-1 6.05297 20.6688 -1089.1
e_aq^-1 -21.033 38.2997 -1089.35
e_aq^-1 -9.49643 8.24873 -1106.3
e_aq^-1 -15.6444 17.2217 -1084.82
e_aq^-1 0.599699 7.52201 -1080.79
e_aq^-1 -27.3147 -2.09214 -1099.15
e_aq^-1 -15.0592 1.30818 -1085.39
e_aq^-1 -29.5849 13.3459 -1089.51
e_aq^-1 -50.2633 -24.7504 -1072.17
e_aq^-1 -7.24827 -10.7282 -1084.79
e_aq^-1 -13.4306 11.6104 -1078.49
e_aq^-1 -8.54088 4.55613 -1083.19
e_aq^-1 -17.4689 11.6482 -1079.62
e_aq^-1 -15.6998 -0.613349 -1084.69
e_aq^-1 -7.38393 -2.26345 -1067.99
e_aq^-1 -6.5006 -4.95812 -1053.97
e_aq^-1 -23.7498 -1.18091 -1060.41
e_aq^-1 -10.1664 -23.5693 -1077.06
e_aq^-1 -22.7116 9.42918 -1066.03
e_aq^-1 -25.0923 5.77151 -1072.9
e_aq^-1 -18.3172 -3.74878 -1045.76
e_aq^-1 0.462953 4.00041 -1063.27
e_aq^-1 -18.1312 -7.412 -1076.95
e_aq^-1 -19.1528 -6.28161 -1076.88
e_aq^-1 -36.9846 -31.4639 -1059.77
e_aq^-1 -10.2933 -5.03891 -1049.32
e_aq^-1 -25.0293 -0.832138 -1054.57
e_aq^-1 -20.8182 2.15806 -1070.42
e_aq^-1 5.2764 6.76199 -1047.38
e_aq^-1 -10.1838 -2.23327 -1050.76
e_aq^-1 -19.3098 -17.5729 -1044.83
e_aq^-1 -13.0937 10.6599 -1051.88
e_aq^-1 -11.4552 -3.95093 -1039.4
e_aq^-1 -0.817012 -15.9538 -1032.56
e_aq^-1 -14.958 4.75335 -1044.64
e_aq^-1 -28.2191 -10.3053 -1032.33
e_aq^-1 -7.13932 -9.1457 -1056.69
e_aq^-1 -28.0938 6.16659 -1045.24
e_aq^-1 -24.071 -6.13997 -1048.09
e_aq^-1 -5.86328 -4.23839 -1049.18
e_aq^-1 -9.55393 -3.34716 -1041.11
e_aq^-1 -14.1125 5.3315 -1049.8
e_aq^-1 -9.61139 1.46165 -1038.47
e_aq^-1 -3.60363 4.94457 -1042.65
e_aq^-1 -9.89624 7.22559 -1037.2
e_aq^-1 -9.66271 9.29413 -1018.99
e_aq^-1 -14.5726 8.03664 -1045.56
e_aq^-1 -16.3759 -7.15328 -1036.77
e_aq^-1 -13.2864 4.09512 -1032.47
e_aq^-1 -9.31402 -9.04192 -1029.43
e_aq^-1 -29.4101 -3.27242 -1026.14
e_aq^-1 -1.75108 -35.8491 -1024.6
e_aq^-1 6.82259 5.09253 -1034.74
e_aq^-1 -9.33166 5.21099 -1030.08
e_aq^-1 -21.2602 -7.5357 -1027.68
e_aq^-1 4.06086 20.4875 -1014.44
e_aq^-1 -48.2574 14.6591 -1014.95
e_aq^-1 -24.6495 -2.21654 -1013.33
e_aq^-1 -11.1707 5.50946 -1009.63
e_aq^-1 1.4515 3.94797 -999.718
e_aq^-1 -0.101339 -19.7872 -1023.23
e_aq^-1 -18.2388 1.86423 -1008.82
e_aq^-1 -23.6296 16.6747 -997.237
e_aq^-1 -21.9499 -9.94985 -1003.89
e_aq^-1 -31.2273 2.44086 -1005.7
e_aq^-1 -27.5155 25.181 -1004.97
e_aq^-1 3.54927 11.2629 -999.316
e_aq^-1 -10.6696 -15.1618 -995.499
e_aq^-1 -12.4216 3.62147 -988.618
e_aq^-1 -26.0143 6.03704 -977.542
e_aq^-1 -16.7295 -5.88812 -1003.62
e_aq^-1 -10.572 -8.39753 -1002.48
e_aq^-1 -20.9033 9.93244 -994.917
e_aq^-1 -13.5451 -8.99192 -990.137
e_aq^-1 -22.0805 1.57246 -993.125
e_aq^-1 -17.2923 2.51526 -995.607
e_aq^-1 -15.0092 1.22487 -995.387
e_aq^-1 -23.7585 6.12977 -1005.82
e_aq^-1 -2.51582 5.14911 -977.954
e_aq^-1 -21.5515 -7.2495 -1001.67
e_aq^-1 -12.9792 -7.94399 -998.211
e_aq^-1 -8.85498 -2.37679 -978.383
e_aq^-1 -0.379201 -16.6508 -994.06
e_aq^-1 -24.9494 -21.6132 -978.453
e_aq^-1 -3.09352 -10.5797 -997.996
e_aq^-1 3.62269 -3.84985 -980.225
e_aq^-1 -17.4593 -13.1771 -977.155
e_aq^-1 -3.26509 8.52826 -970.164
e_aq^-1 -18.2464 -8.55691 -981.067
e_aq^-1 -17.2914 -5.00926 -983.259
e_aq^-1 -11.0514 -7.61019 -966.966
e_aq^-1 -14.1622 -20.0563 -961.164
e_aq^-1 -21.2714 -26.032 -970.057
e_aq^-1 -28.5233 -12.1235 -970.159
